2018-06-08 16:43:08.023717	start
2018-06-08 16:43:10.023717	Raise right hand
2018-06-08 16:43:14.023717	end
2018-06-08 16:43:18.023717	Raise right hand
2018-06-08 16:43:22.023717	end
2018-06-08 16:43:26.023717	Raise left hand
2018-06-08 16:43:30.023717	end
2018-06-08 16:43:34.023717	Raise left hand
2018-06-08 16:43:38.023717	end
2018-06-08 16:43:42.023717	Raise left hand
2018-06-08 16:43:46.023717	end
2018-06-08 16:43:50.023717	Raise left hand
2018-06-08 16:43:54.023717	end
2018-06-08 16:43:58.023717	Raise left hand
2018-06-08 16:44:02.023717	end
2018-06-08 16:44:06.023717	Raise right hand
2018-06-08 16:44:10.023717	end
2018-06-08 16:44:14.023717	Raise right hand
2018-06-08 16:44:18.023717	end
2018-06-08 16:44:22.023717	Raise left hand
2018-06-08 16:44:26.023717	end
2018-06-08 16:44:30.023717	Raise left hand
2018-06-08 16:44:34.023717	end
2018-06-08 16:44:38.023717	Raise right hand
2018-06-08 16:44:42.023717	end
2018-06-08 16:44:46.023717	Raise right hand
2018-06-08 16:44:50.023717	end
2018-06-08 16:44:54.023717	Raise right hand
2018-06-08 16:44:58.023717	end
2018-06-08 16:45:02.023717	Raise left hand
2018-06-08 16:45:06.023717	end
2018-06-08 16:45:10.023717	Raise left hand
2018-06-08 16:45:14.023717	end
2018-06-08 16:45:18.023717	Raise left hand
2018-06-08 16:45:22.023717	end
2018-06-08 16:45:26.023717	Raise right hand
2018-06-08 16:45:30.023717	end
2018-06-08 16:45:34.023717	Raise right hand
2018-06-08 16:45:38.023717	end
2018-06-08 16:45:42.023717	Raise left hand
2018-06-08 16:45:46.023717	end
2018-06-08 16:45:50.023717	Raise right hand
2018-06-08 16:45:54.023717	end
2018-06-08 16:45:58.023717	Raise left hand
2018-06-08 16:46:02.023717	end
2018-06-08 16:46:06.023717	Raise right hand
2018-06-08 16:46:10.023717	end
2018-06-08 16:46:14.023717	Raise right hand
2018-06-08 16:46:18.023717	end
