2018-06-08 16:38:49.393510	start
2018-06-08 16:38:51.393510	Raise left hand
2018-06-08 16:38:55.393510	end
2018-06-08 16:38:59.393510	Raise left hand
2018-06-08 16:39:03.393510	end
2018-06-08 16:39:07.393510	Raise right hand
2018-06-08 16:39:11.393510	end
2018-06-08 16:39:15.393510	Raise right hand
2018-06-08 16:39:19.393510	end
2018-06-08 16:39:23.393510	Raise right hand
2018-06-08 16:39:27.393510	end
2018-06-08 16:39:31.393510	Raise left hand
2018-06-08 16:39:35.393510	end
2018-06-08 16:39:39.393510	Raise left hand
2018-06-08 16:39:43.393510	end
2018-06-08 16:39:47.393510	Raise right hand
2018-06-08 16:39:51.393510	end
2018-06-08 16:39:55.393510	Raise left hand
2018-06-08 16:39:59.393510	end
2018-06-08 16:40:03.393510	Raise right hand
2018-06-08 16:40:07.393510	end
2018-06-08 16:40:11.393510	Raise right hand
2018-06-08 16:40:15.393510	end
2018-06-08 16:40:19.393510	Raise left hand
2018-06-08 16:40:23.393510	end
2018-06-08 16:40:27.393510	Raise right hand
2018-06-08 16:40:31.393510	end
2018-06-08 16:40:35.393510	Raise right hand
2018-06-08 16:40:39.393510	end
2018-06-08 16:40:43.393510	Raise right hand
2018-06-08 16:40:47.393510	end
2018-06-08 16:40:51.393510	Raise left hand
2018-06-08 16:40:55.393510	end
2018-06-08 16:40:59.393510	Raise right hand
2018-06-08 16:41:03.393510	end
2018-06-08 16:41:07.393510	Raise left hand
2018-06-08 16:41:11.393510	end
2018-06-08 16:41:15.393510	Raise right hand
2018-06-08 16:41:19.393510	end
2018-06-08 16:41:23.393510	Raise right hand
2018-06-08 16:41:27.393510	end
2018-06-08 16:41:31.393510	Raise left hand
2018-06-08 16:41:35.393510	end
2018-06-08 16:41:39.393510	Raise left hand
2018-06-08 16:41:43.393510	end
2018-06-08 16:41:47.393510	Raise left hand
2018-06-08 16:41:51.393510	end
2018-06-08 16:41:55.393510	Raise left hand
2018-06-08 16:41:59.393510	end
