2018-06-07 14:52:42.829750	start
2018-06-07 14:52:44.829750	Raise left hand
2018-06-07 14:52:48.829750	end
2018-06-07 14:52:52.829750	Raise right hand
2018-06-07 14:52:56.829750	end
2018-06-07 14:53:00.829750	Raise right hand
2018-06-07 14:53:04.829750	end
2018-06-07 14:53:08.829750	Raise left hand
2018-06-07 14:53:12.829750	end
2018-06-07 14:53:16.829750	Raise left hand
2018-06-07 14:53:20.829750	end
2018-06-07 14:53:24.829750	Raise left hand
2018-06-07 14:53:28.829750	end
2018-06-07 14:53:32.829750	Raise left hand
2018-06-07 14:53:36.829750	end
2018-06-07 14:53:40.829750	Raise right hand
2018-06-07 14:53:44.829750	end
2018-06-07 14:53:48.829750	Raise right hand
2018-06-07 14:53:52.829750	end
2018-06-07 14:53:56.829750	Raise right hand
2018-06-07 14:54:00.829750	end
2018-06-07 14:54:04.829750	Raise right hand
2018-06-07 14:54:08.829750	end
2018-06-07 14:54:12.829750	Raise left hand
2018-06-07 14:54:16.829750	end
2018-06-07 14:54:20.829750	Raise right hand
2018-06-07 14:54:24.829750	end
2018-06-07 14:54:28.829750	Raise left hand
2018-06-07 14:54:32.829750	end
2018-06-07 14:54:36.829750	Raise left hand
2018-06-07 14:54:40.829750	end
2018-06-07 14:54:44.829750	Raise left hand
2018-06-07 14:54:48.829750	end
2018-06-07 14:54:52.829750	Raise right hand
2018-06-07 14:54:56.829750	end
2018-06-07 14:55:00.829750	Raise left hand
2018-06-07 14:55:04.829750	end
2018-06-07 14:55:08.829750	Raise left hand
2018-06-07 14:55:12.829750	end
2018-06-07 14:55:16.829750	Raise left hand
2018-06-07 14:55:20.829750	end
2018-06-07 14:55:24.829750	Raise right hand
2018-06-07 14:55:28.829750	end
2018-06-07 14:55:32.829750	Raise right hand
2018-06-07 14:55:36.829750	end
2018-06-07 14:55:40.829750	Raise right hand
2018-06-07 14:55:44.829750	end
2018-06-07 14:55:48.829750	Raise right hand
2018-06-07 14:55:52.829750	end
